datetime,temperature,humidity,pressure,windspeed,winddir,cloudcoverage,weather,description,weathericon,sunrisetime,sunsettime
2020-03-13 12:35:51,8.64,74,1008,15.4,250,75,Rain,light rain,10d,06:24:46,18:06:53
2020-03-13 14:27:54,8.81,61,1008,11.3,260,75,Rain,light intensity shower rain,09d,06:24:46,18:06:53
