datetime;temp;humidity;wind_speed;wind_dir;weather
2020-03-11 12:00:00;12.84;46;6.27;273;Clouds
2020-03-11 15:00:00;12.98;50;5.15;270;Clouds
2020-03-11 18:00:00;10.61;73;3.83;226;Clouds
2020-03-11 21:00:00;9.81;86;4.7;227;Clouds
2020-03-12 00:00:00;9.83;79;5.8;224;Clouds
2020-03-12 03:00:00;10.96;80;7.4;225;Rain
2020-03-12 06:00:00;11.45;73;8.67;229;Rain
2020-03-12 09:00:00;10.5;72;8.91;257;Rain
2020-03-12 12:00:00;9.37;58;10.63;268;Rain
2020-03-12 15:00:00;8.65;40;9.22;276;Clouds
2020-03-12 18:00:00;6.29;47;6.22;268;Clouds
2020-03-12 21:00:00;5.39;54;4.65;233;Clear
2020-03-13 00:00:00;4.92;60;6.59;255;Clouds
2020-03-13 03:00:00;4.27;69;6.52;242;Clouds
2020-03-13 06:00:00;4.25;67;6.85;239;Clouds
2020-03-13 09:00:00;6.19;60;8.36;245;Clouds
2020-03-13 12:00:00;8.05;56;9.77;258;Rain
2020-03-13 15:00:00;7.17;67;9.82;266;Rain
2020-03-13 18:00:00;5.87;69;7.48;272;Rain
2020-03-13 21:00:00;3.26;64;8.01;285;Clouds
2020-03-14 00:00:00;2.04;67;7.31;292;Clouds
2020-03-14 03:00:00;1.63;75;5.15;299;Clouds
2020-03-14 06:00:00;0.39;80;3.9;302;Clouds
2020-03-14 09:00:00;3.82;54;2.56;346;Clear
2020-03-14 12:00:00;6.31;37;1.26;359;Clouds
2020-03-14 15:00:00;6.6;34;0.98;86;Clouds
2020-03-14 18:00:00;4.04;48;3.05;131;Clouds
2020-03-14 21:00:00;2.38;57;3.84;156;Clear
2020-03-15 00:00:00;1.4;60;3.47;163;Clear
2020-03-15 03:00:00;0.93;65;4.16;164;Clear
2020-03-15 06:00:00;0.86;64;4.78;168;Clear
2020-03-15 09:00:00;5.25;47;5.35;178;Clear
2020-03-15 12:00:00;8.95;34;5.49;174;Clear
2020-03-15 15:00:00;9.98;30;6.08;166;Clouds
2020-03-15 18:00:00;7.03;36;5.89;160;Clouds
2020-03-15 21:00:00;5.97;38;5.79;162;Clouds
2020-03-16 00:00:00;4.87;37;5.53;166;Clouds
2020-03-16 03:00:00;3.91;34;5.46;170;Clouds
2020-03-16 06:00:00;3.55;34;5.43;181;Clouds
2020-03-16 09:00:00;7.5;33;5.65;196;Clouds
